procid,[multiple_procnames],crs,x,y
BO-01,Bo-V01,BoV01,Bo_V01,BO01,WGS84,13.81369762122631,65.05796243436635
BO-02,Bo-V02,BoV02,Bo_V02,BO02,WGS84,13.815643144771457,65.0577350333333
BO-03,Bo-V03,BoV03,Bo_V03,BO03,WGS84,13.816186711192131,65.05845939740539
BO-04,Bo-V04,BoV04,Bo_V04,BO04,WGS84,13.816259047016501,65.05809495225549
BO-05,Bo-V05,BoV05,Bo_V05,BO05,WGS84,13.81612753495574,65.05760570056736
BO-06,Bo-V06,BoV06,Bo_V06,BO06,WGS84,13.828206863254309,65.05741585046053
BO-08,Bo-V08,BoV08,Bo_V08,BO08,WGS84,13.833635738119483,65.05708350799978
BO-09,Bo-V09,BoV09,Bo_V09,BO09,WGS84,13.833638085052371,65.05702969618142
BO-10,Bo-V10,BoV10,Bo_V10,BO10,WGS84,13.833610005676746,65.05621279589832
BO-11,Bo-V11,BoV11,Bo_V11,BO11,WGS84,13.832639046013355,65.05695174448192
AM-A,AMA,AM_A,WGS84,9.415926681831479,62.47372101992369
AM-B,AMB,AM_B,WGS84,9.415835905820131,62.47276984155178
AM-C,AMC,AM_C,WGS84,9.415344474837184,62.472295593470335
AM-D,AMD,AM_D,WGS84,9.416733356192708,62.47176183387637
AM-E,AME,AM_E,WGS84,9.421985037624836,62.467365777119994
AM-F,AMF,AM_F,WGS84,9.415733646601439,62.46960156597197
AM-G,AMG,AM_G,WGS84,9.41509603522718,62.471165377646685
AM-H,AMH,AM_H,WGS84,9.415077678859234,62.471237210556865
AM-I,AMI,AM_I,WGS84,9.419989809393883,62.47027102857828
AM-J,AMJ,AM_J,WGS84,9.427110068500042,62.467789985239506
AM-K,AMK,AM_K,WGS84,9.433042025193572,62.462323224171996
AM-L,AML,AM_L,WGS84,9.435547208413482,62.46128311380744
AM-M,AMM,AM_M,WGS84,9.46448229253292,62.46821813285351
AM-01,AM01,AM_01,WGS84,9.418384842574596,62.46227812953293
AM-04,AM04,AM_04,WGS84,9.420542679727077,62.46132016181946
AM-05,AM05,AM_05,WGS84,9.420696487650275,62.46122997254133
AM-06,AM06,AM_06,WGS84,9.425156079232693,62.462643664330244
AM-07,AM07,AM_07,WGS84,9.423520769923925,62.462163884192705
AM-09,AM09,AM_09,WGS84,9.424893474206328,62.462193723767996
AM-11,AM11,AM_11,WGS84,9.42400130443275,62.46120977215469
AM-12,AM12,AM_12,WGS84,9.42379368469119,62.4610884860158
AM-13,AM13,AM_13,WGS84,9.424594826996326,62.46408157981932
AM-14,AM14,AM_14,WGS84,9.424619050696492,62.46442255564034
AM-01,AM01,AM_01,WGS84,9.418384842574596,62.46227812953293
AM-04,AM04,AM_04,WGS84,9.420542679727077,62.46132016181946
AM-05,AM05,AM_05,WGS84,9.420696487650275,62.46122997254133
AM-06,AM06,AM_06,WGS84,9.425156079232693,62.462643664330244
AM-07,AM07,AM_07,WGS84,9.423520769923925,62.462163884192705
AM-09,AM09,AM_09,WGS84,9.424893474206328,62.462193723767996
AM-11,AM11,AM_11,WGS84,9.42400130443275,62.46120977215469
AM-12,AM12,AM_12,WGS84,9.42379368469119,62.4610884860158
AM-13,AM13,AM_13,WGS84,9.424594826996326,62.46408157981932
AM-14,AM14,AM_14,WGS84,9.424619050696492,62.46442255564034
MO-01,M01-V,M01V,M01_V,MO01,WGS84,8.294307086616755,59.85714088194072
MO-02,M02-V,M02V,M02_V,MO02,WGS84,8.29316639341414,59.857053961604834
MO-03,M03-V,M03V,M03_V,MO03,WGS84,8.293386837467551,59.856758834794164
MO-06,M06-V,M06V,M06_V,MO06,WGS84,8.292335998266935,59.85664542764425
MO-07,M07-V,M07V,M07_V,MO07,WGS84,8.292533727362752,59.85658365301788
MO-09,M09-V,M09V,M09_V,MO09,WGS84,8.291955040767789,59.85693074762821
MO-11,M11-V,M11V,M11_V,MO11,WGS84,8.293239567428827,59.85612943768501
MO-12,M12-V,M12V,M12_V,MO12,WGS84,8.298494350165129,59.8583665676415
MO-13,M13-V,M13V,M13_V,MO13,WGS84,8.300762241706252,59.85748965293169
MO-14,M14-V,M14V,M14_V,MO14,WGS84,8.301106067374349,59.85726694576442
LU-01,L-01,L01,L_01,LU01,WGS84,6.433335989713669,58.54775659739971
LU-02,L-02,L02,L_02,LU02,WGS84,6.432377602905035,58.548168735578656
LU-03,L-03,L03,L_03,LU03,WGS84,6.431028367951512,58.548285495489836
LU-04,L-04,L04,L_04,LU04,WGS84,6.428645392879844,58.54890273883939
LU-05,L-05,L05,L_05,LU05,WGS84,6.428913529962301,58.54946524836123
LU-06,L-06,L06,L_06,LU06,WGS84,6.426975466310978,58.55010931380093
LU-07,L-07,L07,L_07,LU07,WGS84,6.431344617158175,58.548426646739244
LU-08,L-08,L08,L_08,LU08,WGS84,6.429282920435071,58.54841231368482
LU-09,L-09,L09,L_09,LU09,WGS84,6.432800469920039,58.54896795004606
LU-10,L-10,L10,L_10,LU10,WGS84,6.43312007188797,58.5476534999907
DI-01,DI01,DI_01,WGS84,19.769817078486085,68.71265502646565
DI-02,DI02,DI_02,WGS84,19.78475522249937,68.71155582368374
DI-03,DI03,DI_03,WGS84,19.786877688020468,68.71147938072681
DI-04,DI04,DI_04,WGS84,19.79631034657359,68.71232151053846
DI-05,DI05,DI_05,WGS84,19.798697428777814,68.71237012557685
DI-06,DI06,DI_06,WGS84,19.79889364913106,68.71223408728838
DI-07,DI07,DI_07,WGS84,19.80071780271828,68.71243458241224
DI-08,DI08,DI_08,WGS84,19.80654649436474,68.71178573928773
